112516: done 132 games, mean reward -20.760, eps 0.02, speed 18.93 f/s
113278: done 133 games, mean reward -20.760, eps 0.02, speed 19.00 f/s
114040: done 134 games, mean reward -20.760, eps 0.02, speed 19.04 f/s
114917: done 135 games, mean reward -20.760, eps 0.02, speed 18.93 f/s
115727: done 136 games, mean reward -20.760, eps 0.02, speed 18.94 f/s
116507: done 137 games, mean reward -20.780, eps 0.02, speed 18.85 f/s
117269: done 138 games, mean reward -20.780, eps 0.02, speed 18.94 f/s
118031: done 139 games, mean reward -20.780, eps 0.02, speed 18.86 f/s
118793: done 140 games, mean reward -20.780, eps 0.02, speed 18.94 f/s
119645: done 141 games, mean reward -20.780, eps 0.02, speed 18.87 f/s
120407: done 142 games, mean reward -20.800, eps 0.02, speed 18.95 f/s
121169: done 143 games, mean reward -20.800, eps 0.02, speed 18.90 f/s
121931: done 144 games, mean reward -20.810, eps 0.02, speed 18.88 f/s
122753: done 145 games, mean reward -20.820, eps 0.02, speed 18.92 f/s
123515: done 146 games, mean reward -20.820, eps 0.02, speed 18.86 f/s
124305: done 147 games, mean reward -20.820, eps 0.02, speed 18.99 f/s
125128: done 148 games, mean reward -20.830, eps 0.02, speed 18.91 f/s
125890: done 149 games, mean reward -20.840, eps 0.02, speed 18.88 f/s
126680: done 150 games, mean reward -20.840, eps 0.02, speed 18.84 f/s
127442: done 151 games, mean reward -20.840, eps 0.02, speed 18.94 f/s
128265: done 152 games, mean reward -20.840, eps 0.02, speed 18.87 f/s
129105: done 153 games, mean reward -20.830, eps 0.02, speed 18.94 f/s
129927: done 154 games, mean reward -20.830, eps 0.02, speed 18.90 f/s
130745: done 155 games, mean reward -20.840, eps 0.02, speed 18.92 f/s
131585: done 156 games, mean reward -20.830, eps 0.02, speed 18.86 f/s
132347: done 157 games, mean reward -20.830, eps 0.02, speed 18.83 f/s
133137: done 158 games, mean reward -20.830, eps 0.02, speed 18.92 f/s
133899: done 159 games, mean reward -20.830, eps 0.02, speed 18.81 f/s
134740: done 160 games, mean reward -20.840, eps 0.02, speed 18.86 f/s
135564: done 161 games, mean reward -20.850, eps 0.02, speed 18.91 f/s
136326: done 162 games, mean reward -20.860, eps 0.02, speed 18.88 f/s
137148: done 163 games, mean reward -20.870, eps 0.02, speed 18.90 f/s
137910: done 164 games, mean reward -20.870, eps 0.02, speed 18.82 f/s
138700: done 165 games, mean reward -20.870, eps 0.02, speed 18.93 f/s
139462: done 166 games, mean reward -20.870, eps 0.02, speed 18.76 f/s
140362: done 167 games, mean reward -20.860, eps 0.02, speed 18.84 f/s
141213: done 168 games, mean reward -20.860, eps 0.02, speed 18.87 f/s
141975: done 169 games, mean reward -20.860, eps 0.02, speed 18.81 f/s
142793: done 170 games, mean reward -20.870, eps 0.02, speed 18.76 f/s
143574: done 171 games, mean reward -20.870, eps 0.02, speed 18.81 f/s
144364: done 172 games, mean reward -20.890, eps 0.02, speed 18.86 f/s
145126: done 173 games, mean reward -20.890, eps 0.02, speed 18.74 f/s
145976: done 174 games, mean reward -20.890, eps 0.02, speed 18.82 f/s
146766: done 175 games, mean reward -20.890, eps 0.02, speed 18.72 f/s
147556: done 176 games, mean reward -20.900, eps 0.02, speed 18.70 f/s
148318: done 177 games, mean reward -20.900, eps 0.02, speed 18.67 f/s
149080: done 178 games, mean reward -20.910, eps 0.02, speed 18.78 f/s
149903: done 179 games, mean reward -20.910, eps 0.02, speed 18.81 f/s
150665: done 180 games, mean reward -20.910, eps 0.02, speed 18.75 f/s
151427: done 181 games, mean reward -20.910, eps 0.02, speed 18.75 f/s
152369: done 182 games, mean reward -20.910, eps 0.02, speed 18.77 f/s
153187: done 183 games, mean reward -20.920, eps 0.02, speed 18.80 f/s
153949: done 184 games, mean reward -20.920, eps 0.02, speed 18.89 f/s
154799: done 185 games, mean reward -20.920, eps 0.02, speed 18.71 f/s
155589: done 186 games, mean reward -20.920, eps 0.02, speed 18.66 f/s
156411: done 187 games, mean reward -20.920, eps 0.02, speed 18.78 f/s
157173: done 188 games, mean reward -20.920, eps 0.02, speed 18.78 f/s
157935: done 189 games, mean reward -20.920, eps 0.02, speed 18.83 f/s
158757: done 190 games, mean reward -20.920, eps 0.02, speed 18.87 f/s
159580: done 191 games, mean reward -20.930, eps 0.02, speed 18.68 f/s
160370: done 192 games, mean reward -20.930, eps 0.02, speed 18.78 f/s
161132: done 193 games, mean reward -20.930, eps 0.02, speed 18.79 f/s
161894: done 194 games, mean reward -20.940, eps 0.02, speed 18.79 f/s
162780: done 195 games, mean reward -20.930, eps 0.02, speed 18.81 f/s
163603: done 196 games, mean reward -20.930, eps 0.02, speed 18.80 f/s
164547: done 197 games, mean reward -20.930, eps 0.02, speed 18.75 f/s
165328: done 198 games, mean reward -20.930, eps 0.02, speed 18.74 f/s
166090: done 199 games, mean reward -20.930, eps 0.02, speed 18.77 f/s
166852: done 200 games, mean reward -20.930, eps 0.02, speed 18.75 f/s
167674: done 201 games, mean reward -20.930, eps 0.02, speed 18.81 f/s
168496: done 202 games, mean reward -20.930, eps 0.02, speed 18.72 f/s
169286: done 203 games, mean reward -20.930, eps 0.02, speed 18.78 f/s
170066: done 204 games, mean reward -20.940, eps 0.02, speed 18.84 f/s
170948: done 205 games, mean reward -20.940, eps 0.02, speed 18.64 f/s
171710: done 206 games, mean reward -20.940, eps 0.02, speed 18.79 f/s
172472: done 207 games, mean reward -20.940, eps 0.02, speed 18.81 f/s
173234: done 208 games, mean reward -20.940, eps 0.02, speed 18.72 f/s
174137: done 209 games, mean reward -20.950, eps 0.02, speed 18.77 f/s
174899: done 210 games, mean reward -20.950, eps 0.02, speed 18.68 f/s
175679: done 211 games, mean reward -20.950, eps 0.02, speed 18.78 f/s
176561: done 212 games, mean reward -20.950, eps 0.02, speed 18.71 f/s
177384: done 213 games, mean reward -20.950, eps 0.02, speed 18.77 f/s
178174: done 214 games, mean reward -20.950, eps 0.02, speed 18.72 f/s
178936: done 215 games, mean reward -20.950, eps 0.02, speed 18.83 f/s
179758: done 216 games, mean reward -20.950, eps 0.02, speed 18.67 f/s
180520: done 217 games, mean reward -20.950, eps 0.02, speed 18.72 f/s
181310: done 218 games, mean reward -20.950, eps 0.02, speed 18.78 f/s
182072: done 219 games, mean reward -20.950, eps 0.02, speed 18.64 f/s
182862: done 220 games, mean reward -20.950, eps 0.02, speed 18.84 f/s
183705: done 221 games, mean reward -20.950, eps 0.02, speed 18.74 f/s
184467: done 222 games, mean reward -20.950, eps 0.02, speed 18.68 f/s
185289: done 223 games, mean reward -20.950, eps 0.02, speed 18.73 f/s
186051: done 224 games, mean reward -20.950, eps 0.02, speed 18.70 f/s
186891: done 225 games, mean reward -20.940, eps 0.02, speed 18.77 f/s
